method,n_obs,n_exceptions,exception_rate,kupiec_LR,kupiec_p_value
parametric,1548,37,0.023901808785529714,21.744922588906093,3.114129562220569e-06
mc_normal,1548,35,0.02260981912144703,18.315635892300236,1.871646746154365e-05
mc_bootstrap,1548,24,0.015503875968992248,4.055692897827637,0.04402264893727714
